1,3,5,100
1,7,5,100
1,8,5,100
1,10,5,100
1,12,5,100
1,30,5,100
2,17,5,100
2,3,5,100
2,4,5,100
2,21,5,100
2,22,5,100
2,31,5,100
2,28,5,100
2,5,5,100
3,32,5,100
3,1,5,100
3,2,5,100
3,4,5,100
3,5,5,100
3,6,5,100
3,7,5,100
3,12,5,100
3,13,5,100
3,15,5,100
3,20,5,100
3,27,5,100
3,31,5,100
4,16,5,100
4,17,5,100
4,2,5,100
4,3,5,100
4,11,5,100
4,14,5,100
5,16,5,100
5,2,5,100
5,3,5,100
5,6,5,100
5,9,5,100
5,10,5,100
5,11,5,100
5,15,5,100
6,19,5,100
6,3,5,100
6,5,5,100
6,23,5,100
6,8,5,100
6,27,5,100
7,1,5,100
7,3,5,100
7,9,5,100
8,1,5,100
8,18,5,100
8,6,5,100
9,5,5,100
9,7,5,100
10,1,5,100
10,5,5,100
10,29,5,100
11,29,5,100
11,4,5,100
11,5,5,100
11,13,5,100
12,1,5,100
12,3,5,100
13,11,5,100
13,3,5,100
13,14,5,100
13,22,5,100
14,24,5,100
14,20,5,100
14,4,5,100
14,13,5,100
14,21,5,100
15,19,5,100
15,18,5,100
15,3,5,100
15,5,5,100
15,26,5,100
15,28,5,100
16,25,5,100
16,4,5,100
16,5,5,100
16,23,5,100
17,2,5,100
17,4,5,100
18,8,5,100
18,15,5,100
19,24,5,100
19,25,5,100
19,6,5,100
19,15,5,100
20,26,5,100
20,3,5,100
20,14,5,100
21,2,5,100
21,14,5,100
22,32,5,100
22,2,5,100
22,13,5,100
23,16,5,100
23,6,5,100
24,19,5,100
24,14,5,100
25,16,5,100
25,19,5,100
26,20,5,100
26,30,5,100
26,15,5,100
27,3,5,100
27,6,5,100
28,2,5,100
28,15,5,100
29,10,5,100
29,11,5,100
30,1,5,100
30,26,5,100
31,2,5,100
31,3,5,100
32,3,5,100
32,22,5,100
